se_storage1,se_storage2,se_storage3,se_storage4,se_storage5,se_storage6,se_storage7,se_storage8,se_storage9,se_storage10,se_storage11
.25849426,.26164162,.26143199,.25197914,.26106966,.26514396,.24499987,.25261304,.24794549,.24221602,.26600558
.23309672,.23310319,.23165713,.23964195,.23249441,.23174298,.23806579,.23500215,.2216253,.23774071,.21538271
.16115449,.16128589,.16385199,.15480193,.15955481,.15768062,.15804441,.15800561,.16909733,.15524985,.15573864
.19894592,.19913574,.19867711,.20010145,.19827114,.19407541,.19706003,.19391277,.19128709,.19913441,.2026861
.30215934,.30513966,.30399129,.30270225,.2916103,.30433351,.29715362,.2970286,.30080494,.30311996,.28361359
.14350651,.14638525,.14236793,.1438604,.14353797,.14101169,.13572401,.14482389,.1480239,.14899389,.14446563
.22342588,.22522047,.2230835,.22699842,.22035511,.20900059,.21818741,.23101187,.22653566,.21417941,.2143258
.2348216,.23461694,.22319789,.23075522,.23823971,.22884426,.23395404,.24268347,.23702005,.23437986,.23692474
.22872232,.22577874,.22582708,.23044784,.23639619,.23546913,.22872229,.22876389,.22088291,.22087376,.22818759
.24843714,.24691969,.25129601,.24396527,.24723148,.24950986,.24051343,.24767049,.24291934,.23963313,.23255901
.25185636,.24991205,.2486871,.25422922,.2466865,.24345304,.25015092,.25025493,.24768347,.24773945,.24382162
.2196922,.22307765,.21946101,.21728759,.22723766,.21313752,.22401336,.22055551,.22083642,.21162401,.1957929
.19986817,.20298962,.19940577,.19343005,.20175214,.20119821,.19496785,.19279973,.19171984,.19323629,.19452813
.2669847,.26792285,.26149374,.26092762,.25661716,.24931349,.26508328,.27322024,.24533096,.25089845,.25262323
.24331145,.24510251,.2494888,.24428837,.24419606,.23873204,.23799947,.23732507,.2460981,.24600114,.2353785
.21304332,.2179084,.21582857,.21286526,.22479621,.21361849,.20635833,.21529435,.20943281,.22121061,.19131798
.20442982,.20484199,.20071819,.21119165,.19995433,.2030935,.20772259,.20654924,.19172874,.19862594,.2032319
.22179705,.22377737,.22048146,.22596908,.22451897,.20639846,.22185135,.22195013,.22094828,.21392515,.21587624
