se_storage1,se_storage2,se_storage3,se_storage4,se_storage5,se_storage6,se_storage7,se_storage8,se_storage9,se_storage10,se_storage11,se_storage12,se_storage13,se_storage14,se_storage15,se_storage16,se_storage17,se_storage18,se_storage19,se_storage20
4.4580522,4.4208717,4.3539805,4.3171368,4.2520514,4.194818,4.2450542,4.0664172,4.0857444,3.9846959,3.9869471,3.8374636,3.8271258,3.8027053,3.765748,3.7174428,3.6106682,3.5745523,3.5292304,3.5348995
3.6687901,3.6318502,3.4877439,3.3535001,3.396471,3.3556123,3.461004,3.4159317,3.2244425,3.192199,3.0936995,3.1190207,3.0330136,3.0958767,2.9212141,2.7555521,2.8924658,2.8890352,2.6036839,2.7668128
4.9280419,4.8502536,4.7912488,4.7809176,4.6748767,4.525919,4.4730406,4.3009472,4.3787398,4.2623086,4.1490164,4.3045301,3.8404431,4.0972862,3.9739969,3.9872591,3.9951491,3.615778,3.692733,3.8394325
5.3095779,5.2555885,5.1823411,5.10848,5.0657144,5.0428462,4.9536977,4.8696356,4.8259964,4.7711143,4.7380557,4.6279321,4.6218982,4.6021008,4.4945669,4.4336505,4.3645029,4.3140426,4.2623529,4.1335649
3.1425037,3.1116118,3.1041522,3.0068936,2.9642856,2.9722123,2.8578162,2.8590095,2.801374,2.7541387,2.6647685,2.6982703,2.7367687,2.5683005,2.6245451,2.6562459,2.5602934,2.3897073,2.4658954,2.4612236
2.6553679,2.637569,2.5546076,2.5198743,2.4718475,2.5323584,2.3506048,2.380614,2.3541505,2.3133454,2.3912597,2.236902,2.2147954,2.2918582,2.2403927,2.208118,2.0948546,1.9910728,2.1550686,1.9249244
6.2225666,6.1876788,6.0440798,6.0217643,6.086412,5.8370833,5.8327188,5.612679,5.6153159,5.6112409,5.3404088,5.2862525,5.2146831,5.470387,5.4743133,5.1041021,4.923656,4.7523842,4.624866,4.6568351
3.9495242,3.8693156,3.8617799,3.7504773,3.7498441,3.7225623,3.6604049,3.5944741,3.5272689,3.5623229,3.4785321,3.4065766,3.4191792,3.418622,3.2733786,3.2908132,3.1531239,3.1641605,3.1102722,3.0310476
4.900918,4.8413625,4.7980771,4.7338109,4.6623602,4.5622149,4.5461702,4.57165,4.4041686,4.3372507,4.3743634,4.2809334,4.2297754,4.1390157,4.1503372,3.9914422,3.9937885,3.9676187,3.933398,3.8662837
4.3794589,4.3333669,4.2557511,4.1790366,4.1326518,4.0300493,4.0246272,3.9727783,3.8681006,3.849808,3.8610377,3.7767291,3.7100215,3.6400015,3.5371051,3.5881898,3.514539,3.4304597,3.5428104,3.4097426
4.289979,4.2283697,4.1847992,4.0138874,4.0307903,3.9306226,3.7027063,3.9652712,3.8409739,3.6386423,3.6586213,3.4466181,3.5534341,3.5460041,3.5344732,3.2183661,3.2611883,3.1905603,3.3140817,3.1734328
4.9742198,4.9284902,4.8507061,4.8078513,4.7700834,4.727212,4.6298032,4.6220121,4.5411716,4.4903955,4.4291539,4.3630657,4.3001227,4.2697959,4.2148395,4.1780753,4.0783863,4.0714016,4.0068479,3.9849482
4.7991252,4.7010293,4.6684089,4.5712576,4.5263629,4.3274069,4.4945083,4.275743,4.098156,4.1092396,4.0270405,3.8793082,4.0065861,3.6100714,3.7406609,3.8330283,3.4877768,3.526659,3.4958394,3.2272038
3.2479043,3.195838,3.1409061,3.1416881,3.0621169,3.0802023,3.0160892,2.9441004,2.9964828,2.9209354,2.7666624,2.7377856,2.6889579,2.732182,2.6961834,2.6968758,2.6076021,2.6067786,2.5060983,2.5316658
3.1242132,3.082233,3.0671647,3.0274212,2.9944451,2.9576635,2.8893301,2.8600664,2.8036757,2.8078921,2.7630253,2.7509129,2.687362,2.6444321,2.6337218,2.5831249,2.5320306,2.5178688,2.5184803,2.4758642
7.0254226,6.9392128,6.8471775,6.724988,6.6448026,6.6065764,6.5045853,6.356688,6.3441191,6.274816,6.1507831,6.083097,5.9957566,5.8920069,5.8459449,5.7996507,5.7061729,5.615283,5.6511917,5.4721408
6.0911474,6.0080118,5.955389,5.8405108,5.7734146,5.6264787,5.5137453,5.4152946,5.4109755,5.4639034,5.2194052,5.2153268,5.0618176,5.108397,4.9948215,4.9495926,4.913559,4.7336664,4.7261643,4.6227422
6.7248983,6.6716914,6.5064454,6.3647461,6.2305412,6.2466578,6.1328344,5.9922657,5.8857884,5.93011,5.8277788,5.7565551,5.5839448,5.6639442,5.4417944,5.3952584,5.3906593,5.154705,4.9354973,5.1124277
