b_storage1,b_storage2,b_storage3,b_storage4,b_storage5,b_storage6,b_storage7,b_storage8,b_storage9,b_storage10,b_storage11,b_storage12,b_storage13,b_storage14,b_storage15,b_storage16,b_storage17,b_storage18,b_storage19,b_storage20
-2.0745063,-3.0624826,-4.0613618,-5.0223351,-6.0662389,-6.8797879,-7.991549,-8.8375292,-9.9579649,-10.970068,-11.979055,-12.886275,-13.930339,-14.901835,-15.723608,-16.697708,-17.930943,-18.799448,-19.847431,-20.779135
-.51637083,-1.478439,-2.4132168,-3.5126426,-4.4577217,-5.5231595,-6.404038,-7.5182872,-8.3941946,-9.4717283,-10.495476,-11.558784,-12.426729,-13.388753,-14.368955,-15.309809,-16.342829,-17.304234,-18.432962,-19.266109
3.367301,2.3359897,1.2974045,.25225517,-.79179251,-1.8016526,-3.073442,-4.0102515,-4.8621426,-6.0188022,-6.9543843,-8.0209942,-9.0329742,-10.298904,-11.096747,-12.096083,-13.219791,-14.02317,-15.305296,-16.35133
-1.6294638,-2.6474526,-3.6236928,-4.6029897,-5.5738339,-6.5162148,-7.5971894,-8.5625534,-9.5814476,-10.503685,-11.404552,-12.509979,-13.506642,-14.446096,-15.388189,-16.47275,-17.427364,-18.527496,-19.375471,-20.480398
.5883745,-.40469214,-1.365283,-2.4342279,-3.3995593,-4.37814,-5.3037667,-6.3893156,-7.3032222,-8.3759823,-9.3200006,-10.313416,-11.363719,-12.397256,-13.255816,-14.207453,-15.39525,-16.501442,-17.265026,-18.423574
-.90732634,-1.8961874,-2.8209083,-3.8649373,-4.8076835,-5.7164664,-6.8499575,-7.9383616,-8.7379847,-9.7423925,-10.964519,-11.818755,-12.71766,-13.676558,-14.568541,-15.708283,-16.692585,-17.696905,-18.705153,-19.584299
-4.5192041,-5.5073791,-6.4076872,-7.4700122,-8.3591442,-9.3138561,-10.224575,-11.16238,-12.076588,-13.06974,-14.041921,-15.048895,-15.857252,-17.038364,-17.876034,-18.764366,-19.629835,-20.666767,-21.705431,-22.848635
1.27751,.2175203,-.81255782,-1.8399612,-2.6767595,-3.8038402,-4.7241011,-5.7275786,-6.7467437,-7.8129849,-8.815567,-9.9494476,-10.783339,-12.064953,-12.886049,-13.87341,-14.895923,-15.983978,-17.194193,-17.884594
-2.1510282,-3.0954173,-4.0602617,-5.0425162,-5.9663749,-7.0231123,-7.9715576,-8.935482,-9.9841022,-10.975096,-11.931914,-12.894835,-13.991495,-14.869462,-15.872461,-16.818918,-17.859549,-18.744781,-19.859978,-20.786249
7.9252706,6.8151221,5.7850595,4.683816,3.6786373,2.6022582,1.4523038,.31339681,-.67746598,-1.7145406,-2.780313,-3.8982248,-5.0748854,-6.025908,-7.0703483,-8.3608713,-9.1711712,-10.226113,-11.324548,-12.373142
2.3679912,1.3269612,.28782547,-.74955446,-1.7428005,-2.6887214,-3.8732269,-4.9327345,-5.8098783,-6.7907963,-7.8437624,-9.0142336,-9.9013262,-10.871899,-11.868037,-13.215498,-14.008439,-15.072879,-16.016342,-17.313234
6.278873,5.2045331,4.1713891,3.0321591,2.0567036,.94610703,-.13568556,-1.0722104,-2.2457087,-3.3691897,-4.274065,-5.4591198,-6.4042263,-7.5190663,-8.4265652,-9.8029051,-10.658265,-11.66951,-12.801012,-14.008737
-1.1577628,-2.1740134,-3.0855446,-4.0632281,-5.1096721,-6.1813312,-7.1499462,-8.0340033,-9.1361818,-10.00097,-11.014739,-11.831436,-13.186593,-13.835475,-14.967791,-16.031979,-16.885046,-17.984291,-19.165901,-19.898918
-4.0078821,-4.932651,-5.956924,-6.7588983,-7.8792186,-8.7733488,-9.6582308,-10.774467,-11.63571,-12.503523,-13.437333,-14.425364,-15.664288,-16.450539,-17.287636,-18.349602,-19.36694,-20.299551,-21.286213,-22.105896
