se_storage1,se_storage2,se_storage3,se_storage4,se_storage5,se_storage6,se_storage7,se_storage8,se_storage9,se_storage10,se_storage11,se_storage12,se_storage13,se_storage14,se_storage15,se_storage16,se_storage17,se_storage18,se_storage19,se_storage20
1.413606,1.398122,1.3857911,1.3572893,1.3461939,1.3572199,1.3274711,1.3017747,1.2967088,1.2721474,1.29054,1.2440792,1.2276195,1.252599,1.2153417,1.2169173,1.205914,1.2007205,1.1543529,1.1404148
1.7401115,1.7208325,1.6993005,1.6822823,1.6719601,1.6631352,1.6304778,1.6246868,1.6085486,1.5581918,1.5701717,1.5621997,1.5469388,1.5334063,1.4938371,1.5143255,1.4332193,1.4606484,1.4244323,1.3948129
1.3960172,1.3858008,1.3672584,1.3467854,1.3510898,1.3413676,1.3073355,1.2972407,1.2835647,1.2875651,1.2325261,1.2377676,1.2127471,1.2091444,1.1936581,1.1847482,1.1658732,1.1596467,1.109782,1.1119846
2.8254542,2.7969029,2.7700131,2.7401958,2.7206385,2.6864755,2.6595225,2.6278291,2.5945563,2.576257,2.5516329,2.5263588,2.46804,2.467952,2.4426274,2.4081237,2.3819139,2.339992,2.3144131,2.2899086
2.7177382,2.7021372,2.6621273,2.6212783,2.6177118,2.577673,2.5579236,2.5337198,2.5183849,2.4754367,2.4502289,2.4142506,2.3944061,2.3714681,2.3272777,2.2894065,2.2853808,2.290468,2.2242541,2.2367368
1.4139513,1.3974243,1.3892368,1.3761787,1.3533882,1.3380181,1.3276759,1.2871939,1.2919058,1.3003117,1.3011187,1.257329,1.255855,1.2250147,1.2271885,1.1979331,1.1735568,1.1814848,1.1561571,1.1561155
1.5488082,1.530811,1.5171548,1.5029238,1.4940711,1.4673327,1.4664428,1.4524076,1.4130985,1.3989569,1.4036894,1.3875809,1.3453717,1.3440299,1.3487325,1.3152202,1.3112564,1.2988702,1.2565074,1.2580268
2.2236159,2.2007492,2.1765168,2.1635284,2.1259546,2.1196568,2.0827773,2.0587735,2.0387216,2.0301814,2.0007586,1.9282929,1.9319738,1.9146557,1.9040385,1.8664078,1.8561867,1.8797276,1.8022853,1.7933576
1.2506763,1.2419765,1.2176495,1.2005959,1.1950094,1.1825505,1.1683396,1.1636704,1.1401548,1.1555955,1.1309451,1.1362735,1.1280267,1.0880746,1.0567716,1.0508325,1.0719715,1.0271213,1.054031,1.0176611
1.5708461,1.5515714,1.5330722,1.5242333,1.4961219,1.4956033,1.4664582,1.4614054,1.4224112,1.4277499,1.4361354,1.406544,1.4016078,1.3687359,1.3582984,1.3360693,1.3231107,1.2881907,1.2877829,1.2789428
2.0904613,2.0774388,2.0460312,2.0379598,2.0099621,1.9670044,1.9767778,1.9665768,1.9228193,1.9179572,1.8903298,1.8523952,1.8270682,1.8241975,1.7988433,1.8203543,1.7842824,1.7189217,1.7148584,1.6956036
2.1306658,2.1290784,2.0877886,2.0885911,2.022301,2.0066209,1.99764,1.9621253,1.9569712,1.9148996,1.9194893,1.9193891,1.86101,1.8581783,1.8691453,1.7643077,1.8143406,1.7556813,1.7428135,1.7508433
1.6194329,1.6094378,1.5968016,1.5609424,1.5556796,1.5549748,1.5236751,1.5196266,1.4699222,1.4872069,1.4310943,1.4560324,1.415554,1.4077122,1.4133631,1.3221836,1.3696307,1.3448091,1.3237059,1.3027073
1.5759497,1.5665125,1.5514376,1.5287838,1.5070752,1.4998894,1.4771041,1.4511837,1.4416008,1.4395039,1.4161029,1.3773465,1.4094154,1.3823808,1.3815794,1.3581383,1.3126525,1.2839895,1.32013,1.2722958
1.6441427,1.6284249,1.6202124,1.6039455,1.5769033,1.5503573,1.5601043,1.5183749,1.5253584,1.4936502,1.4718943,1.4698701,1.445883,1.4544657,1.4085068,1.3964375,1.380306,1.350919,1.3672167,1.3323619
1.3852748,1.3699014,1.3536961,1.3417299,1.3336192,1.3205709,1.3023611,1.2938504,1.2741672,1.2690867,1.2407392,1.2269899,1.2179462,1.2034353,1.1825095,1.1606674,1.1781662,1.1621361,1.1494009,1.1265415
1.9446093,1.9198092,1.9024713,1.8881509,1.8792948,1.8365314,1.8251203,1.8123966,1.790466,1.7742263,1.7499496,1.7149348,1.7071208,1.7309169,1.7062006,1.6596031,1.6011311,1.5934821,1.600823,1.6154634
2.0129936,1.9817723,1.981738,1.9589652,1.9522333,1.9087512,1.8823464,1.8903164,1.8760632,1.8259969,1.8359429,1.8231852,1.7784508,1.7278951,1.7354137,1.7098502,1.6971636,1.7217517,1.6535219,1.6500846
1.9161364,1.9033552,1.8723621,1.8844115,1.8343881,1.8085185,1.782892,1.7623872,1.7825938,1.7526399,1.733528,1.7029524,1.6698331,1.6949977,1.6344726,1.644904,1.59815,1.5623655,1.5847136,1.543357
1.750592,1.736956,1.70924,1.6950567,1.6793877,1.658991,1.6489369,1.6245697,1.6050425,1.5989919,1.5407727,1.5582058,1.5375291,1.497492,1.5175053,1.4880083,1.4774971,1.4405268,1.4340383,1.3790327
1.5211871,1.5036124,1.4962476,1.4764278,1.4553257,1.4542491,1.439499,1.4217113,1.3897278,1.3960525,1.3608246,1.3411552,1.3395854,1.3266156,1.3062803,1.3030552,1.2653568,1.2482647,1.2525955,1.208993
1.851909,1.8345661,1.8178461,1.7980266,1.7738422,1.7543814,1.7406492,1.7424166,1.7061406,1.6854678,1.6692884,1.6567973,1.6344324,1.6042156,1.6028448,1.5822786,1.5853672,1.548419,1.524874,1.5068959
2.182267,2.1530974,2.1371953,2.1214786,2.0829556,2.0703347,2.0610964,2.0258443,2.0058937,1.9942385,1.9612677,1.961853,1.9183635,1.9191602,1.8618084,1.8372059,1.862471,1.807615,1.80662,1.7697569
2.2320292,2.2156918,2.1826758,2.1609454,2.1363831,2.1165607,2.1055419,2.0460055,2.0388339,2.0332758,2.0258961,2.0300126,1.9517018,1.9505919,1.9272152,1.9152131,1.8488091,1.8578573,1.8605977,1.794338
1.7032681,1.6916302,1.6664875,1.6539992,1.6361041,1.6116624,1.6009049,1.5828748,1.567541,1.5488985,1.5384493,1.5209736,1.5088854,1.4514823,1.4687455,1.4645237,1.4215786,1.4302307,1.3915107,1.4022033
2.3778558,2.3521073,2.332397,2.3139815,2.277885,2.2653995,2.2434137,2.1948893,2.2052195,2.1522985,2.1366775,2.1386762,2.0761595,2.0504112,2.0680037,2.0135512,1.9454195,1.973011,1.9537092,1.9177529
2.0240309,1.9954585,1.9907335,1.9689877,1.9418939,1.9099815,1.8889831,1.8774085,1.8459485,1.8349886,1.8157687,1.7780857,1.7868674,1.7877558,1.7566509,1.6933144,1.737987,1.6846306,1.6556172,1.628122
1.5107543,1.4925548,1.4848437,1.470946,1.460166,1.4373021,1.4254392,1.4124112,1.385456,1.364876,1.3766185,1.3320144,1.3424736,1.3159746,1.2909847,1.2974718,1.2839065,1.2802823,1.2440619,1.2359937
1.5369978,1.5157942,1.5135559,1.4924902,1.4748945,1.4502497,1.4427091,1.4505342,1.4019594,1.4195298,1.3879358,1.3764734,1.3426366,1.3578415,1.3348789,1.3137838,1.2696236,1.2509062,1.2769603,1.2519437
1.0293835,1.0161725,1.0064429,1.0059446,1.0023582,.97578126,.97379941,.95822066,.94900924,.93741441,.93699223,.91812116,.91531765,.90108728,.89402568,.88723773,.85079247,.85632616,.84745872,.83480394
1.9493095,1.9258472,1.9119965,1.8942163,1.8540701,1.8419157,1.824551,1.8218161,1.793364,1.7804514,1.7470319,1.7391222,1.6841576,1.7255119,1.6846212,1.6741555,1.6583331,1.6788088,1.591759,1.5773573
1.6871138,1.6723191,1.6543531,1.6417271,1.6076773,1.5946763,1.5722165,1.5647383,1.5531821,1.5441155,1.5158559,1.5071249,1.4550062,1.4515023,1.4515181,1.4507257,1.4249476,1.3926405,1.379546,1.4043853
2.1650276,2.1379507,2.1187017,2.0953565,2.079412,2.0735688,2.0598934,2.0190804,1.9926776,1.9622529,1.9475411,1.9471105,1.9079819,1.8858374,1.8617327,1.8549334,1.810645,1.8210913,1.7335696,1.738516
1.8023515,1.7842702,1.7653198,1.7465203,1.7290058,1.7257913,1.7000307,1.677392,1.6672041,1.6510158,1.6093765,1.6089027,1.5814735,1.5593845,1.5271162,1.5320051,1.5059475,1.4852262,1.478887,1.469182
1.4145303,1.395066,1.3880587,1.369876,1.3651406,1.3644488,1.3177421,1.3208303,1.2885864,1.2817992,1.2485561,1.2430594,1.2386214,1.2120486,1.2327725,1.1777018,1.1652402,1.1864563,1.1580392,1.1520225
1.2187122,1.2018951,1.1921505,1.173744,1.1710109,1.1702687,1.1469775,1.1471269,1.1330208,1.1129521,1.0719048,1.0886127,1.0768389,1.0545634,1.0470568,1.0413352,1.0439042,1.0186965,1.0154037,.97904259
1.8067347,1.7931093,1.769125,1.7506326,1.7469099,1.7270712,1.7108337,1.67756,1.6701899,1.6465015,1.6231077,1.5815341,1.5910358,1.5609226,1.5552353,1.568013,1.5406286,1.4965087,1.455936,1.5003916
1.5682349,1.5368178,1.5315516,1.5288496,1.5155307,1.4859653,1.4681975,1.4637727,1.4267468,1.4333919,1.4050982,1.4247618,1.36564,1.3722571,1.3588334,1.3316225,1.3475207,1.3327191,1.2720791,1.2774299
2.2762663,2.2502105,2.231504,2.1942515,2.1797388,2.1622598,2.1312788,2.1141412,2.1041863,2.0629194,2.045589,2.0348306,1.988682,1.9931489,1.9748423,1.9155004,1.9152755,1.8884393,1.8835905,1.8499098
1.9559385,1.9392018,1.9105072,1.8883924,1.8752991,1.8609688,1.8323246,1.801955,1.8236171,1.7929317,1.7847172,1.7433193,1.7164708,1.7034068,1.6942947,1.6648345,1.626824,1.6532128,1.63688,1.5918323
1.5835207,1.5715114,1.5525646,1.5402857,1.5245497,1.5026611,1.4940693,1.4757537,1.4635224,1.4449586,1.4058344,1.3906319,1.3836833,1.3781359,1.3573538,1.3318082,1.3475547,1.325689,1.3155891,1.2749288
1.8757733,1.8596439,1.8330954,1.8166665,1.7925302,1.7720679,1.7688999,1.7258483,1.7302305,1.7043034,1.704345,1.671908,1.6483712,1.6203014,1.6066761,1.5849115,1.569844,1.5440855,1.5501895,1.5171479
1.7902848,1.7742022,1.7639097,1.7346048,1.7037166,1.7064563,1.6765732,1.672882,1.6399887,1.633618,1.6064795,1.5947584,1.5879242,1.5678166,1.5545352,1.5504787,1.4974319,1.4979686,1.4452358,1.4608104
1.6440697,1.6250941,1.603837,1.5982965,1.5739832,1.5369608,1.5417662,1.5304271,1.5191247,1.4802756,1.4776715,1.4571325,1.4533412,1.4249247,1.3859668,1.3974923,1.378792,1.3897043,1.342589,1.3198398
2.2279472,2.2084138,2.1777925,2.1687226,2.1433249,2.1209073,2.0930979,2.0626175,2.0631566,2.0338771,2.0038157,1.9591058,1.9682732,1.9434361,1.8985738,1.9090983,1.8821336,1.8431998,1.8173741,1.7897649
2.58882,2.567771,2.5389132,2.5031958,2.486418,2.4653878,2.4354119,2.4151514,2.3643146,2.36554,2.3291457,2.3004222,2.2681963,2.2508292,2.2175522,2.1989474,2.1724706,2.1616304,2.1157637,2.1033266
1.4200265,1.4094148,1.3836873,1.3796477,1.351288,1.3637832,1.3450626,1.3293936,1.2955067,1.2753258,1.2662392,1.2652851,1.2652938,1.2242849,1.2033725,1.1939856,1.1922135,1.194784,1.1620529,1.1582607
1.3104001,1.2958393,1.2817405,1.2646248,1.2642839,1.2507056,1.2318306,1.2183008,1.1931146,1.1969746,1.1742712,1.1654229,1.1626555,1.1264051,1.1224372,1.1134837,1.097766,1.0739416,1.0778203,1.0464554
1.5258336,1.5144702,1.4907191,1.4804931,1.4721768,1.4713243,1.4272662,1.4374955,1.3947632,1.4081471,1.3721575,1.3578305,1.3683274,1.3339276,1.3062452,1.3185518,1.3099369,1.2458749,1.2467309,1.2639031
1.9667255,1.9421841,1.9347062,1.9178922,1.8898282,1.8893059,1.8555863,1.8458323,1.8071783,1.8099333,1.7608682,1.7596318,1.723357,1.7133042,1.7000225,1.6612419,1.6646785,1.6419792,1.6092482,1.6044745
