se_storage1,se_storage2,se_storage3,se_storage4,se_storage5,se_storage6,se_storage7,se_storage8,se_storage9,se_storage10,se_storage11,se_storage12,se_storage13,se_storage14,se_storage15,se_storage16,se_storage17,se_storage18,se_storage19,se_storage20
5.4137139,5.352056,5.2990103,5.2133417,5.1679835,5.0776458,5.118021,4.992898,4.9325614,4.7988224,4.8442903,4.6488633,4.6812348,4.6443067,4.5598774,4.4219303,4.3799849,4.2779388,4.2318988,4.2638993
5.3896728,5.3413415,5.1516695,4.9987745,5.0168872,4.9619927,5.0224495,4.9404144,4.8736711,4.6048808,4.4434524,4.4622917,4.4514875,4.3639131,4.2030621,3.9976032,4.2514181,3.9433763,3.7118402,3.9065173
7.8220029,7.723062,7.5628104,7.5692735,7.4223914,7.1805367,7.1776571,7.0084596,6.9998455,6.853776,6.7618618,6.8160663,6.353991,6.5258904,6.3166842,6.3676987,6.1417093,5.8537779,6.0946064,6.0263352
6.6427794,6.5586329,6.4381099,6.3679109,6.3132563,6.3077445,6.2253423,6.0533857,5.9258842,5.9197421,5.8725872,5.7401147,5.6764998,5.7292647,5.6023784,5.3995991,5.387002,5.3163376,5.2298207,5.1326618
5.0859623,5.019578,4.9816236,4.9150596,4.8273158,4.8266616,4.6505737,4.6161857,4.6047297,4.5582485,4.4048853,4.4733734,4.3905163,4.1895051,4.2900701,4.2237644,4.1806564,4.0005322,4.0112572,4.0649185
4.6864839,4.6227584,4.5285263,4.4730411,4.3980536,4.4309626,4.2536526,4.232204,4.176765,4.0935421,4.1119747,3.9667473,3.8882143,3.8886893,3.8056173,3.7249579,3.6145368,3.6198254,3.6201189,3.408906
9.3242989,9.1252155,9.0789318,8.9647923,8.937047,8.6021013,8.4966688,8.050869,8.0607548,8.0687361,7.8048854,7.6088181,7.655046,7.6227064,7.1247349,6.8046455,6.5903354,6.8346758,6.7731471,6.5823016
4.4837999,4.368443,4.347971,4.2509809,4.2431889,4.2163353,4.1285577,4.003643,3.9737973,4.0185843,3.9685652,3.7657735,3.806932,4.0132756,3.7322834,3.8135319,3.4869831,3.3881767,3.5088243,3.2742527
6.3378963,6.2414656,6.2104168,6.0843625,5.9611039,5.908258,5.8619132,5.8774133,5.6371408,5.5986524,5.5506048,5.5286756,5.4178591,5.1485915,5.3743367,4.9571662,5.0912895,5.0524278,4.8650274,4.8411288
6.6587787,6.588696,6.4651937,6.3678231,6.2464209,6.2277899,6.1127114,6.0073266,5.9152575,5.8772907,5.8404889,5.8064661,5.6574593,5.5622945,5.5054297,5.4571934,5.3365259,5.1956244,5.2729478,5.1560049
6.7096167,6.6132021,6.5410066,6.3616452,6.3435917,6.3124132,6.0806799,6.2053237,6.0138168,5.8837447,5.8396449,5.6318674,5.6687469,5.6000962,5.4894714,5.410542,5.1394258,5.1566033,5.2142215,5.1370649
5.0103164,4.9801965,4.8656912,4.8469677,4.78439,4.7744126,4.6120162,4.5377231,4.4981928,4.5109797,4.3792863,4.365067,4.3210535,4.121335,4.1634374,4.0252957,4.2026653,3.9436963,3.8254218,4.0627136
6.4531512,6.2791629,6.2694726,6.1179523,5.9683414,5.719058,5.9925365,5.6269779,5.4318466,5.4368234,5.1269832,5.2509561,5.4339232,4.543798,4.8485765,4.9241896,4.5279202,4.5082145,4.572072,4.044045
5.5546336,5.4579372,5.3230667,5.3674626,5.226584,5.1876531,5.1684375,4.9540873,5.0279899,4.8519001,4.6566963,4.7454338,4.5075655,4.5834241,4.5127053,4.2829533,4.3274822,4.2156854,4.1577168,4.0854292
6.4341216,6.3608251,6.3174729,6.2300444,6.1097393,6.0513706,5.9447989,5.8591127,5.7513661,5.6610837,5.7034659,5.5747218,5.4189687,5.4035287,5.3733411,5.1655197,5.1711187,5.0534153,4.8960409,4.9223819
5.8277669,5.7379994,5.5865664,5.5211883,5.4174757,5.5444875,5.3929286,5.06949,5.2102685,5.129704,5.0344844,5.0367088,4.8573585,4.6783075,4.6373115,4.7202072,4.6098199,4.5867324,4.5630226,4.3957429
8.4374084,8.2979956,8.231554,8.0437422,7.9450302,7.5389433,7.3541303,7.3389149,7.178225,7.5498405,6.9103065,6.9810696,6.8332405,6.933382,6.5695896,6.6169438,6.2637491,5.8404131,5.7836571,6.1646643
7.7453337,7.6661873,7.4311385,7.2981162,7.1447148,7.1505952,7.039475,6.8744302,6.7849822,6.8424573,6.7332101,6.6102152,6.3305764,6.4627743,6.2101398,5.9410911,6.1774631,5.8606873,5.5867109,5.8174033
10.857255,10.720909,10.633146,10.452093,10.333982,10.113386,9.9294109,9.9353895,9.7727585,9.3917389,9.3943834,9.4032602,9.0287333,8.9722357,8.7984705,8.6743498,8.526866,8.2267294,8.2374544,8.3983793
9.1072369,9.0090485,8.8039417,8.7718353,8.6808615,8.6580601,8.367219,8.3943501,8.1974678,8.1508684,7.9821625,7.9203153,7.7428679,7.6675692,7.3398371,7.1578894,7.1594124,7.0740294,7.1985393,6.8891578
9.354887,9.1483936,9.0876007,9.0664463,8.7939272,8.637619,8.4611931,8.181778,8.542119,8.2326956,7.9426837,7.7616615,7.6958323,7.6352668,7.5668626,7.3984966,7.182653,7.16889,7.2245202,7.0724349
6.5159726,6.4509349,6.3095951,6.2468238,6.1932406,6.1227489,6.0187082,5.9040637,5.8410525,5.8030815,5.8131413,5.6110125,5.5903654,5.4486327,5.4242935,5.3621273,5.2559772,5.1073055,5.0613084,5.0302944
6.7722631,6.6755962,6.5513053,6.3240161,6.3896861,6.0881872,6.0530686,5.9609356,6.0765018,5.7670717,5.7981133,5.5681739,5.5106812,5.4868336,5.3284426,5.2692814,5.1777382,5.0724201,4.9159417,5.1248856
6.1851363,6.0875978,5.9403963,5.8800149,5.5977216,5.7193108,5.6389623,5.4826713,5.1742835,5.2339053,5.2382379,5.0511727,5.1028638,4.6130362,4.7885432,4.4344091,4.4593,4.6804399,4.2888103,4.473949
7.0209184,6.8415761,6.8439131,6.7971663,6.4437165,6.2925477,6.4260726,6.1877327,5.983882,5.9444413,5.7103653,5.7298222,5.7642241,5.6352496,5.4528232,5.3540845,5.505487,5.1014595,4.9358554,4.9478655
4.3357925,4.2986298,4.2760806,4.2416101,4.0356236,4.0464878,4.1113749,4.0030951,3.9413128,3.9322796,3.8284738,3.9276044,3.6766734,3.7085271,3.5669484,3.6189799,3.5761237,3.4934206,3.4942427,3.3523262
5.5380983,5.4563684,5.3967299,5.2660336,5.1217809,5.2714486,5.0269222,4.9403453,4.8936553,4.366735,4.6114178,4.6158996,4.5529499,4.4268856,4.5350966,4.1999497,4.2693105,4.1742039,4.083416,3.7849259
7.3034673,7.1474519,7.0211143,6.9530077,6.9392128,6.9546824,6.5666423,6.5504475,6.2284884,6.2789345,6.3799915,6.1269364,5.7646999,5.870584,5.8078971,5.676177,5.1340127,5.4901409,5.1375947,5.5533485
4.9900875,4.9698448,4.9567366,4.718708,4.6826735,4.6429939,4.4069104,4.4837699,4.4165416,4.2548013,4.4377255,3.8941989,3.6625032,4.1107388,3.6515594,3.825788,3.801451,3.8339505,3.3491173,3.5804222
6.3150225,6.2491498,6.1946678,6.1515336,6.0184588,5.8965182,5.7522817,5.605824,5.6685882,5.6206584,5.4534674,5.4424105,5.3785448,5.2833104,5.1037588,4.9848347,5.1478243,4.8490338,5.0142913,4.8396397
5.0871959,5.0716906,4.9525089,4.9106212,4.8308787,4.72616,4.718616,4.6113467,4.5340228,4.680511,4.3437643,4.5505748,4.1819882,4.2295961,4.0664425,3.7645094,4.0735655,3.9117875,3.965184,3.6635792
8.9905586,8.9048462,8.7225876,8.6418924,8.5088453,8.4875956,8.3728371,8.2620716,8.0319948,7.9636617,7.8664808,7.8377986,7.7105246,7.585947,7.5256968,7.3565788,7.1466126,7.042717,6.7694917,7.1323614
7.1057596,7.0401664,6.8977909,6.9478998,6.5676064,6.6461744,6.4922857,6.422277,6.4212751,5.9197545,5.723001,5.876677,6.1794691,5.6125445,5.3117218,5.4237146,5.0468769,5.3855014,5.0854101,5.3072624
6.3316846,6.2880692,6.3958235,5.9811988,5.8451447,5.7778587,5.5317855,5.552196,5.4851403,4.948339,5.297677,5.2956614,4.7892179,4.6375856,4.634387,4.7407718,4.6487083,4.4773664,4.341301,4.0694995
6.2968163,6.1663055,6.0661335,5.9928689,5.925456,5.9400506,5.6629968,5.5665674,5.3463988,5.5923681,5.6963587,5.4275122,4.7951384,5.0256824,4.8682299,5.0070605,4.6494536,4.6148868,4.3986807,4.5526404
5.5590591,5.4543118,5.362865,5.3034315,5.2891097,5.1599402,5.1509323,5.0450716,4.9463272,4.9028835,4.8116078,4.6186194,4.5571613,4.6659112,4.5246663,4.4013891,4.3652148,4.3669853,4.1816063,4.1504564
13.072227,12.904074,12.805613,12.654681,12.467007,12.244163,12.21034,12.106556,11.849438,11.808048,11.571637,11.445127,11.265935,11.125751,11.033195,10.875766,10.594536,10.473927,10.307152,10.358032
5.3986259,5.3039355,5.1252527,5.2393279,5.1706219,5.0220819,4.9052906,5.0212636,4.9708076,4.8128223,4.6500587,4.6898999,4.7141547,4.6162944,4.3498921,4.3467207,4.3736415,4.4210415,4.2296405,4.3741293
9.499238,9.3922663,9.2736797,9.1526737,9.1083155,8.8575745,8.7802496,8.7798548,8.6624422,8.4767418,8.4492264,8.1576767,8.037755,8.0141821,7.9640365,7.6810622,7.659225,7.5729389,7.4603782,7.3706384
5.6352262,5.501862,5.4481664,5.4292946,5.3277092,5.1080756,5.1184964,4.9803371,4.8414373,4.6907778,4.7084355,4.5632482,4.7389541,4.6009159,4.6588082,4.3036823,4.0995722,4.2231631,3.9899538,3.8273902
10.539317,10.411279,10.269603,10.177169,10.069679,9.9304819,9.8822336,9.6427507,9.5943441,9.4792824,9.344636,9.1883631,9.1572208,9.0465832,8.8139763,8.8048325,8.5342617,8.5094442,8.3837738,8.3816557
8.6637764,8.5729837,8.4647188,8.2900343,8.2511549,8.1859179,8.1005917,7.7865,7.7798772,7.5810981,7.4402213,7.5491004,7.1336226,7.207983,7.0426378,6.9237666,6.8781066,6.7582283,6.6698475,6.5541077
9.6635532,9.4983158,9.3559246,9.2248516,9.2514601,9.1011572,8.8158112,8.7026491,8.4411745,8.4996586,8.2167892,8.1984844,8.2767916,8.1917915,7.9054804,7.4896092,7.5649676,7.6038218,7.3836317,7.1839643
9.4617195,9.3132935,9.1429367,8.9444876,8.9862661,8.9020376,8.6443481,8.5712614,8.5571613,8.0194206,8.2578983,8.0638828,8.0376892,7.8694987,7.7455368,7.5571904,7.5265479,7.318615,7.423141,7.2691984
