b_storage1,b_storage2,b_storage3,b_storage4,b_storage5,b_storage6,b_storage7,b_storage8,b_storage9,b_storage10,b_storage11,b_storage12,b_storage13,b_storage14,b_storage15,b_storage16,b_storage17,b_storage18,b_storage19,b_storage20
.36177811,-.67216557,-1.6170634,-2.6560194,-3.648982,-4.7158093,-5.6428704,-6.632463,-7.6616859,-8.6163416,-9.6702423,-10.670969,-11.692049,-12.734452,-13.749971,-14.676135,-15.841548,-16.585796,-17.752829,-18.642708
-.89130932,-1.8894817,-2.8699396,-3.8813353,-4.8616228,-5.7677622,-6.8233051,-7.9352984,-8.7444172,-9.7417631,-10.769974,-11.79865,-12.729612,-13.902772,-14.659834,-15.769167,-16.849405,-17.728636,-18.769793,-19.68874
1.0411012,.030938137,-.95833588,-1.9963841,-3.0098729,-3.9367085,-5.0184093,-6.0394945,-6.9837041,-8.0478487,-9.1158438,-9.9767494,-11.076705,-12.133642,-13.096451,-14.142933,-15.068233,-16.069971,-17.031963,-18.223555
-.4430967,-1.4560688,-2.3804762,-3.4202969,-4.4178972,-5.3807983,-6.3741665,-7.4242067,-8.4524279,-9.3678207,-10.4072,-11.3628,-12.528069,-13.328277,-14.270377,-15.256974,-16.448763,-17.310246,-18.322861,-19.35128
-4.1454825,-5.0930228,-6.071857,-6.9860678,-7.9338841,-8.8741159,-9.918541,-10.906952,-11.833726,-12.773392,-13.672453,-14.675558,-15.54058,-16.654745,-17.499077,-18.471174,-19.508926,-20.283079,-21.345783,-22.197882
3.5951421,2.5964198,1.4547027,.48823929,-.58471322,-1.5713984,-2.619734,-3.685184,-4.7958255,-5.6773877,-6.7009468,-7.6934843,-8.8497915,-9.8396425,-10.845839,-11.968021,-12.930849,-13.831202,-15.066919,-16.013918
-.98957884,-1.968354,-2.9589126,-3.9763734,-4.934267,-5.8963451,-6.9522223,-7.8569918,-8.8066959,-9.980319,-10.901071,-11.866084,-12.793369,-13.786254,-14.789288,-15.75194,-16.91197,-17.83441,-18.721176,-19.730852
1.4528754,.45091838,-.50505638,-1.6037462,-2.5616558,-3.6148603,-4.5793328,-5.6950855,-6.7178664,-7.7042494,-8.6078959,-9.7007656,-10.616505,-11.576406,-12.787131,-13.788222,-14.778639,-15.672603,-16.825161,-17.804787
-.52226365,-1.5026857,-2.5122879,-3.4475374,-4.4503455,-5.4636431,-6.4367714,-7.5109377,-8.4087362,-9.4543905,-10.456738,-11.406683,-12.54524,-13.434569,-14.387506,-15.360301,-16.450008,-17.374855,-18.502573,-19.464676
1.2449664,.21445143,-.75011808,-1.7733401,-2.7868321,-3.8316751,-4.8666325,-5.8641176,-6.8602448,-7.8370652,-9.0082607,-9.9531775,-10.872682,-11.906843,-12.964542,-13.965743,-15.024962,-15.99908,-16.986917,-17.973089
