p_storage1,p_storage2,p_storage3,p_storage4,p_storage5,p_storage6,p_storage7,p_storage8,p_storage9,p_storage10,p_storage11
.66155005,.17057882,.020899428,.00099089777,.00006950747,0,0,0,0,0,0
.20895544,.025171058,.001254188,.00008096129,0,0,0,0,0,0,0
.26143086,.010587651,.00017713224,0,0,0,0,0,0,0,0
.94267511,.20168509,.015184326,.00051746471,0,0,0,0,0,0,0
.14045584,.027815742,.0033706832,.00026659132,.000013343873,0,0,0,0,0,0
.27395162,.0075747576,.000029608384,0,0,0,0,0,0,0,0
.28237432,.037736505,.0016904899,.000090359958,0,0,0,0,0,0,0
.46473059,.69827217,.14751139,.018656947,.00070928253,.000019140125,0,0,0,0,0
.24440454,.97413737,.31839654,.035892196,.0019354976,.000132448,0,0,0,0,0
.72066766,.50986117,.10487162,.010416288,.00067062606,.00002859137,0,0,0,0,0
.27480426,.039250843,.0030119226,.00020527182,0,0,0,0,0,0,0
.6922453,.14308448,.011680023,.00054928585,.000011550766,0,0,0,0,0,0
.46665469,.62976396,.079400122,.0026115302,.000060102295,0,0,0,0,0,0
.5871312,.14384107,.016883723,.0014111424,.000055136654,0,0,0,0,0,0
.77047724,.49138859,.094231732,.0088968817,.00033714654,.000010092919,0,0,0,0,0
.090164147,.52549648,.51609153,.074861817,.0060370797,.000081327307,0,0,0,0,0
.52731436,.52576488,.078277417,.0066269357,.000058300157,0,0,0,0,0,0
.9324435,.2812556,.037146695,.0023052206,.000050070117,0,0,0,0,0,0
.54197067,.022101125,.00015268565,0,0,0,0,0,0,0,0
.76448083,.045726556,.0001961441,0,0,0,0,0,0,0,0
.67111754,.25443652,.0079178065,.00008835605,0,0,0,0,0,0,0
.75137281,.5420385,.12509064,.014866475,.0017076619,.000080071768,0,0,0,0,0
.19526851,.97627735,.22953072,.0108264,.00036638105,0,0,0,0,0,0
.53001213,.14417534,.02067622,.0022020729,.00021879149,.000020997843,0,0,0,0,0
.10907385,.99460256,.10799296,.0028762349,.000010337371,0,0,0,0,0,0
.91392869,.14122146,.0023267141,.000067877074,0,0,0,0,0,0,0
.29442567,.021044139,.00048658854,0,0,0,0,0,0,0,0
.46426201,.43876767,.026890788,.00066574424,0,0,0,0,0,0,0
.26050371,.021515237,.0011397299,.000012202656,0,0,0,0,0,0,0
.12290638,.0031797627,.000029799154,0,0,0,0,0,0,0,0
.93497759,.17772974,.007410354,.00012547798,0,0,0,0,0,0,0
.26365882,.72112316,.064457759,.0010807833,.00002239165,0,0,0,0,0,0
.68870437,.15225326,.018580064,.00084892317,.000028022681,0,0,0,0,0,0
.65598261,.39580977,.035977766,.0018153585,.000034141955,0,0,0,0,0,0
.3649908,.77761245,.11675815,.0046440009,.00011528171,0,0,0,0,0,0
.27383301,.94857264,.28910989,.042389452,.0028973401,.00017956694,0,0,0,0,0
.83157724,.41427273,.054940622,.0058255768,.00013656759,0,0,0,0,0,0
.26116505,.011526843,.00022664708,0,0,0,0,0,0,0,0
.78303236,.2829245,.017343851,.00030306118,0,0,0,0,0,0,0
.12447509,.90801203,.18474461,.0098200254,.00041945378,0,0,0,0,0,0
.053390093,.53814399,.50397384,.034859125,.00099578174,.000018036948,0,0,0,0,0
.65296561,.12591068,.0089449119,.00055899861,.000011783235,0,0,0,0,0,0
.62845981,.60508478,.1225881,.010768725,.00092280481,.00001854716,0,0,0,0,0
.64690876,.26568681,.0062031373,.000094479023,0,0,0,0,0,0,0
.59054029,.11547837,.0082308482,.00056825398,.000011702036,0,0,0,0,0,0
.52786672,.46317321,.054084096,.0015726408,.000033105131,0,0,0,0,0,0
.95495141,.22587636,.033196189,.0030533965,.00017828865,0,0,0,0,0,0
.039129779,.00050217693,0,0,0,0,0,0,0,0,0
.80828756,.14680736,.0076232292,.00026160106,0,0,0,0,0,0,0
.15450515,.48130631,.011700111,.000064063432,0,0,0,0,0,0,0
.10840078,.9862873,.15416501,.0050675599,.000022266917,0,0,0,0,0,0
.8593539,.37701932,.043403219,.0028305477,.00014292863,0,0,0,0,0,0
.24617045,.66049361,.042865958,.00074005016,0,0,0,0,0,0,0
.16754153,.67253172,.56263977,.10914139,.012288177,.0010722663,.000029464522,0,0,0,0
.5384919,.26139626,.0064320844,.000067846842,0,0,0,0,0,0,0
.9579941,.27228877,.022921992,.0011269513,.000018722678,0,0,0,0,0,0
.256836,.88085276,.14861752,.0039891521,.000069149486,0,0,0,0,0,0
.4395141,.029820744,.00030166356,.000010111502,0,0,0,0,0,0,0
.38511738,.45997396,.032519866,.00041558893,0,0,0,0,0,0,0
.8085283,.18099941,.019393917,.00060486951,.000017751239,0,0,0,0,0,0
.84783894,.15032491,.0061247181,.000095236945,0,0,0,0,0,0,0
.068252027,.76624078,.23685181,.0048228484,.000030644685,0,0,0,0,0,0
.88429105,.14950652,.011520317,.00021071707,0,0,0,0,0,0,0
.80327016,.10238676,.0020295351,.000031523847,0,0,0,0,0,0,0
.53039443,.42632905,.035720441,.00076712598,0,0,0,0,0,0,0
.89702076,.16273835,.0078746108,.0001602722,0,0,0,0,0,0,0
.0078337034,.15881501,.89469534,.2458773,.020877929,.00035192547,.00001148131,0,0,0,0
.96541816,.12859291,.0036750278,.000038311387,0,0,0,0,0,0,0
.38677141,.95329928,.27649295,.045612808,.0039322325,.00014916553,0,0,0,0,0
