se_storage1,se_storage2,se_storage3,se_storage4,se_storage5,se_storage6,se_storage7,se_storage8,se_storage9,se_storage10,se_storage11
.37624991,.37474316,.37791541,.38449356,.37584838,.36367252,.3801786,.39046672,.39871776,.36850113,.32402453
.47623536,.47151223,.47433922,.48224598,.45543957,.46703771,.47388428,.4807677,.48875666,.49378231,.424876
.36943248,.36807913,.37761495,.3741425,.38171816,.35872796,.36766443,.36135235,.37647936,.39424628,.39848903
.30798915,.31052914,.29598612,.33072051,.30386305,.3150728,.32659617,.33484444,.31642702,.32661566,.28668228
.35179248,.34949213,.36065134,.34431127,.36209068,.35600734,.33869737,.34426859,.34757039,.32894009,.30062503
.41509971,.41788763,.41424403,.42798543,.40815535,.40018588,.42756394,.40295061,.36891544,.38918924,.38592604
.52063549,.51822162,.51957023,.52115238,.50649524,.52801126,.5245074,.50764591,.52535772,.49595511,.47520211
.49366322,.48940715,.4886429,.50862598,.49582696,.47913644,.49847439,.47082421,.48710021,.48953351,.47749338
.46228758,.4621911,.45942253,.45068133,.45771739,.44208381,.46717438,.45519745,.47263357,.43753052,.44650218
.36906576,.36854368,.37274289,.37517625,.35493115,.38532877,.40373138,.37099558,.36572754,.36900693,.39707968
.58849686,.58825475,.58248681,.59085655,.57048839,.60452461,.56864548,.56795961,.57807302,.57381213,.59070694
.46962339,.46470082,.46554855,.47805405,.46108401,.48663324,.46143627,.46672964,.46500817,.45762262,.47184929
.48071843,.47106782,.48336786,.47008049,.47926971,.47112703,.49568272,.51927638,.45201987,.46615222,.53000772
.50159365,.49548417,.50315732,.48867157,.52290601,.48910648,.50864792,.51558578,.50635922,.47179291,.522726
.57811862,.57868421,.57908261,.58233768,.57129496,.54493558,.55479783,.55966419,.55853045,.52824891,.5559485
.69733733,.70276755,.70783615,.69848055,.70876777,.69508463,.70809996,.6776858,.68836236,.67981684,.70627642
.33788028,.33695707,.33234388,.33442476,.3466903,.34730828,.33157966,.33729193,.34135833,.34747025,.32311955
.4448294,.43992034,.44473356,.43021232,.42708981,.44439617,.4347358,.43029991,.42620033,.45704696,.44122577
.43316564,.43124527,.4282459,.43105653,.41971686,.43891063,.41649067,.4471176,.44858006,.42052442,.44756764
.46135071,.46377364,.46676168,.45059493,.44978866,.44529691,.46712101,.46239245,.44974741,.48286241,.46222809
.36292386,.36855206,.36216009,.35637781,.35180348,.3733989,.36911967,.33915758,.3737092,.36898291,.36242038
.49600857,.49421251,.49836069,.48842651,.48188341,.50481975,.47914955,.49022168,.4594675,.48943123,.45419851
.43121403,.44111577,.42685106,.42930207,.41355133,.4232631,.427697,.40743867,.39815292,.40701252,.43581048
.28453493,.28029841,.28142819,.2905314,.28254512,.29057017,.28697371,.28894979,.29830629,.32289582,.28530225
.32599124,.32502726,.33235136,.32040837,.33055422,.32893595,.33423245,.34949228,.32894212,.32606539,.31861225
.57523239,.57638037,.57003856,.54996192,.56401134,.58554333,.54032272,.54564333,.57413405,.5137791,.58043021
.33041996,.33139971,.32721001,.32140091,.31711331,.32688949,.34649086,.34271029,.3204959,.31478369,.36310527
.27576771,.27995324,.28251716,.2616218,.27672252,.27650508,.26506978,.31767318,.28994727,.28135487,.25804234
.47099131,.472011,.47124875,.48374271,.47503716,.47076094,.47179455,.45305163,.45359129,.43775019,.46374148
.35833037,.36176616,.35521507,.36531031,.36270604,.35164282,.35699752,.34584585,.3776511,.36905885,.35002133
.3240431,.32046777,.32558817,.32650492,.30441448,.33103588,.33042359,.30733737,.33292198,.32529384,.32634991
.28134879,.28196639,.28431857,.26269296,.2848694,.29463246,.27628601,.29906231,.28133616,.27627027,.26201129
.6384781,.62430602,.63532841,.63028967,.59415376,.6123963,.6062991,.64278299,.62012047,.57024187,.52666926
.56533027,.55483496,.56284195,.58462805,.56641495,.56148577,.54175454,.56280553,.55129433,.54667693,.56045032
.30472827,.30214232,.30072057,.31098211,.29778916,.29288724,.33328086,.32501465,.28717211,.3095831,.30934861
.33615625,.3382225,.34379873,.33891729,.32627285,.33473408,.31978697,.34416842,.33290523,.33756801,.33964014
.44912013,.439558,.43529919,.44025609,.44765145,.45155749,.46405059,.42465055,.4422673,.46367228,.44685975
.47499263,.48083648,.46675792,.4721624,.47350737,.46505144,.46482739,.44002298,.48454615,.41673964,.44117609
.42718297,.43276846,.42382568,.43724963,.42315155,.43917987,.40951359,.47044221,.48122594,.44088772,.46037665
.42370865,.41209471,.40912071,.41585422,.42815998,.40073234,.40469378,.4020161,.40670091,.4064796,.39249882
.42261153,.42339557,.40107155,.41966066,.40652719,.43480092,.3946524,.41257265,.42504251,.42712405,.40457973
.38615268,.3840377,.38510555,.38394111,.39537573,.39228883,.38635531,.39778069,.3928872,.36566949,.38659707
.55763561,.55291617,.54418802,.54923105,.56057137,.55729723,.56268901,.54871762,.54420185,.53120774,.55599678
.32691404,.32637513,.32784513,.3269048,.34132591,.33264995,.34441587,.33232558,.34003338,.30157015,.3346422
.58164227,.58487588,.57663196,.57905459,.5744794,.56054407,.5593586,.56125224,.53997475,.58523381,.58866054
.49433109,.48930433,.50844711,.49973381,.48604918,.49914572,.4993197,.4776133,.4514524,.48792058,.53021246
.40024632,.3941817,.40757865,.3820864,.40868059,.39904577,.39378923,.39844227,.39698797,.40637022,.39400709
.50244892,.4940685,.51324737,.50291836,.50671214,.51412994,.50037336,.50670165,.44988558,.48801234,.47375852
.4425658,.43970665,.43633661,.44277513,.43804118,.43270609,.44638979,.44640407,.4602609,.42631477,.4315919
.40571314,.40669161,.40244654,.40497252,.39345571,.4116925,.40566474,.4001371,.38885707,.40449864,.38852432
.47215441,.47930974,.47477102,.46848595,.45624,.47513816,.45482615,.44704822,.4472833,.43907252,.4654654
.48633346,.48082986,.48047045,.4972544,.47579214,.47083703,.48889971,.47924092,.46740022,.49122271,.45510414
.36168799,.36727443,.36517,.36222306,.36420611,.35182151,.36870867,.3469207,.33632138,.37014562,.35420483
.63471335,.63262516,.62608802,.65020251,.63766426,.62574369,.64819878,.615273,.61403185,.63407052,.6557368
.47059479,.47306424,.4718228,.45528388,.47336349,.45701692,.47269198,.45946842,.44564191,.4430773,.4418768
.40478715,.41965219,.41123837,.39563191,.39797103,.38771731,.39883971,.40484521,.40263924,.41981524,.35837224
.6883527,.68315989,.69239169,.68104923,.69656074,.68680227,.67835671,.67270094,.68219483,.65405101,.67483002
.39289331,.39801523,.38871866,.40549266,.38424906,.37446937,.39365953,.40568373,.39539546,.40471324,.37984583
.33769545,.33555409,.35055965,.3359018,.36097354,.33250609,.33374882,.31798306,.30316222,.33010727,.34298044
.38006005,.37215212,.37183818,.3902165,.35986558,.36731255,.3684935,.3888517,.38210735,.39044473,.36518836
.52002102,.51747537,.51398104,.51897222,.54850125,.52115554,.53305292,.50239664,.52812123,.51444995,.52046746
.45681608,.43695807,.46243525,.43902552,.4534027,.47100285,.44734359,.43535426,.4188545,.44523898,.46316978
.62129366,.62564993,.61474705,.60822493,.61401278,.62429518,.59512615,.61065805,.6262334,.59655929,.58174688
.27785185,.27144256,.27126864,.2744731,.28333694,.28463027,.27129489,.25932884,.26220295,.26228502,.25986385
.37150002,.37535834,.36717302,.36798313,.34974194,.37183759,.35860854,.3678928,.37795836,.34685633,.32893831
.48730066,.49071693,.47835514,.47806749,.48034686,.48132735,.50834864,.48649001,.47836268,.47731474,.48734602
.32412788,.31904039,.31856677,.32910061,.33189666,.3240546,.33798099,.32646286,.31284904,.33209407,.32783258
.39145172,.39059424,.39209002,.39579451,.38738742,.39225265,.39485449,.38539132,.38635054,.41118696,.38317376
.48653015,.48929259,.48096058,.49059707,.47381124,.4628318,.47760758,.48826054,.47382757,.48006269,.45439899
.32899395,.32920146,.32513368,.33155626,.32434848,.32783735,.32658863,.31568116,.31429654,.31823963,.29453969
.43616828,.43686453,.44742373,.42496511,.4183313,.42745507,.44301504,.4275423,.44284993,.42868519,.40386862
.45805669,.46310681,.45560145,.46309233,.45630091,.47200638,.44776207,.45551556,.45480359,.45792809,.45784512
.50102103,.50326014,.49177036,.50038588,.50795275,.49460992,.47852647,.50552523,.48293507,.51759082,.46345383
.57890701,.58219886,.57857943,.56591034,.53559428,.54995209,.56911838,.56772298,.55561697,.58311051,.53113264
.33580115,.33455166,.33097422,.33526438,.33446696,.33326837,.33832178,.33787283,.32558599,.3476516,.34846947
.25555429,.25731507,.25227973,.25295615,.26001,.23717852,.25128201,.25551376,.2438948,.2616275,.23953076
.33865941,.33712947,.3358894,.34053612,.33226305,.33821821,.3332606,.30897292,.3281785,.3318688,.32093254
.51876616,.51379234,.51879472,.51971334,.52112108,.4995679,.52218664,.50963593,.52719277,.511751,.52621311
.38001978,.37557203,.38159248,.38536361,.36543307,.37681314,.37204817,.36942446,.39911237,.37055045,.35883322
.38113064,.38382643,.38165411,.38362369,.36422822,.3890909,.38441104,.37196141,.39645272,.38359529,.37157929
.4550904,.44803849,.4528861,.44616961,.43660665,.45289725,.4420152,.44489717,.4557184,.44707349,.43906912
.45531598,.45572603,.44994923,.4568595,.44085717,.4320758,.43169621,.42876929,.4675813,.4332203,.42577592
.35097292,.34885556,.34510818,.33984023,.34952343,.3523995,.33753261,.35903513,.35430878,.31006584,.37633336
.66107798,.65906364,.6590963,.6637392,.64469355,.67132425,.67519331,.63488448,.69204271,.67281944,.62388909
.42257676,.4179475,.41422963,.42431843,.426534,.4316307,.4169251,.39442387,.42444292,.4210932,.39102307
.51890594,.51741815,.50497627,.50606698,.50258607,.50526202,.49849877,.50370318,.48111054,.53173095,.51031923
.28295684,.27894545,.31973976,.29003888,.2875838,.28261393,.28104889,.28847131,.27034611,.25649628,.27214837
.45624661,.46011403,.4536159,.43637267,.46154344,.46084201,.44927073,.43604964,.45082051,.44860548,.4078747
.35944259,.35434085,.36351109,.36301634,.36278155,.36470222,.35498464,.38797632,.38191751,.37829798,.36862794
.47250864,.46768138,.46395943,.45983967,.4604637,.46737248,.46315131,.47085044,.47365203,.45620275,.42878163
.43912441,.43428856,.42851964,.43937764,.44887617,.44461775,.43735388,.42866108,.42681831,.41080645,.40238976
.41545129,.41472363,.41825843,.40979925,.42384475,.40814385,.41477278,.42263651,.40795434,.38443658,.46267304
.42071018,.40905231,.41157579,.40542978,.42168579,.40666923,.42941421,.39204499,.42862716,.41472939,.43605739
.4213205,.42036447,.42151845,.42618024,.40849856,.41752797,.43212128,.39917377,.4151859,.41728568,.38827631
.44180089,.44106376,.42961627,.45286188,.44252923,.4442597,.44093263,.46162054,.44203079,.416253,.43169981
.47455022,.47245979,.46659574,.46917975,.48049614,.46004191,.45103166,.47743356,.49210793,.46034843,.45125264
.42055729,.43348995,.41776201,.40443832,.43138054,.42026159,.40436685,.39585686,.4265801,.41799846,.40812713
