se_storage1,se_storage2,se_storage3,se_storage4,se_storage5,se_storage6,se_storage7,se_storage8,se_storage9,se_storage10,se_storage11
.24233918,.24892835,.24463058,.23358437,.23804598,.23946957,.24488091,.2449141,.23805588,.2341397,.22542037
.28469321,.28274146,.28409982,.29085737,.28519958,.28119713,.28184852,.28271466,.27555802,.28925642,.27799657
.35633534,.34843209,.35755309,.35544971,.35104626,.3572869,.35811085,.34667179,.36339185,.34970072,.34708992
.27109429,.28167161,.26299751,.26875228,.27887517,.27417088,.28202954,.2789126,.2880404,.29543784,.26467839
.28010452,.28194556,.28607073,.28195494,.28958911,.27529433,.29064313,.27239084,.29515421,.28423899,.2887691
.22829098,.23032784,.22661267,.21704318,.23006642,.21521533,.22740446,.22578149,.22051811,.22066103,.19843985
.32160532,.31687358,.32014686,.314944,.30627537,.31920475,.31757396,.32729483,.31805289,.3296614,.33403334
.3365936,.33381361,.33401269,.33577994,.34910032,.3333779,.32517633,.33973658,.33338866,.33778474,.33471152
.22620127,.22554383,.22066061,.21900776,.22862595,.22037463,.2316644,.22056983,.21258023,.24291587,.21813567
.23630394,.23921806,.24115375,.23562413,.24185906,.22837304,.2478262,.24013539,.2342401,.22759598,.22762345
.25347728,.25580096,.25366402,.24679774,.25270215,.25154826,.25048068,.25290099,.24592252,.25229824,.26832929
.233777,.22927469,.22645643,.23107493,.22723296,.23484939,.23955064,.24330556,.25864297,.2220861,.23146567
.28555775,.28436178,.28122196,.27720946,.27945706,.28698424,.27196199,.28198859,.2892963,.28066686,.27569366
.21277963,.2137825,.2128281,.2028257,.21557653,.20765573,.20102127,.21951182,.20280468,.21870355,.21884263
.22071819,.22571386,.21849801,.22722775,.21543267,.23325881,.20561831,.19938993,.22015549,.22030057,.22523737
.31261927,.31284618,.3119067,.32164654,.2923061,.30384129,.30591935,.30749381,.31433249,.3019841,.28977811
.42813212,.43079951,.42648998,.405696,.43838188,.42311889,.42218721,.40161014,.419673,.42099965,.37499571
.19433047,.1929135,.19219756,.18936576,.19065647,.20034482,.19468251,.19110753,.1969344,.19370928,.19199209
.23282875,.23076698,.23141161,.22871354,.23367222,.23033449,.23107682,.24077158,.23418032,.23066626,.22856478
.25097921,.24997127,.25456384,.2521458,.23558958,.25681409,.2568548,.24890286,.24984734,.2584174,.22906658
.21910214,.21452911,.21581736,.21855821,.21671812,.21532089,.21795264,.21654892,.21609834,.23365667,.19285165
.28904405,.29273397,.28030217,.28879526,.28117514,.28447413,.28305349,.29939127,.2868365,.28106308,.28805807
.24829233,.2486369,.25599363,.24995154,.23709676,.24667332,.25003219,.23821558,.25707167,.26311097,.2431199
.24472304,.25246754,.23706137,.2459757,.2535589,.25772318,.24453993,.24107243,.23166411,.24646486,.25952482
.26079008,.25572848,.25306356,.2548112,.25646955,.27311704,.25217566,.26554987,.27088547,.25448659,.24680971
.37738705,.37673479,.38190258,.36698183,.37180349,.37648389,.36957511,.36563456,.38052648,.36009622,.35720009
.33456841,.33676794,.33042824,.32606804,.32951671,.34120896,.34072605,.33665439,.323347,.31235927,.33258927
.26895353,.26991624,.2706871,.26447687,.27007508,.27124661,.26417014,.26435828,.2599031,.2667523,.26974833
.33227333,.33426502,.32723272,.33396521,.33803698,.3169457,.31739441,.32150242,.32465151,.3226074,.30730632
.31334344,.31116939,.31024656,.31425685,.31343928,.29863736,.29739767,.31025827,.31620681,.30941725,.30075464
.25707099,.25449958,.25647828,.26405418,.24980143,.26299763,.25639883,.25178701,.27278358,.25556865,.25072384
.21899715,.21635461,.21932413,.22050308,.21368118,.21865357,.20192492,.21700327,.21876334,.20449097,.23650816
.2342,.23594359,.23861089,.23084728,.23323931,.2370242,.23730715,.24034902,.22500139,.22515182,.23795117
.20754816,.20411426,.20502372,.2112015,.21919554,.21358733,.20561673,.20546593,.1980015,.20977376,.20876537
.29041839,.28999165,.29017395,.2827034,.30079451,.27592045,.28716549,.28419977,.2820369,.28692132,.28585565
.2431246,.245032,.24593438,.24654783,.24915783,.23887534,.24052171,.24169613,.24745892,.24656041,.24039464
.36342484,.36263579,.3569465,.36349404,.35623264,.36417121,.36361182,.34345499,.36371377,.36307555,.35015514
.27783972,.27730373,.27939963,.27928194,.28209037,.26724496,.27458328,.2905257,.27899149,.27543545,.27621391
.33525068,.33963016,.33454758,.33804446,.33742133,.3312628,.33157504,.32853416,.32419094,.3212519,.32255727
.37016895,.36870104,.36250573,.35465577,.37069952,.37553814,.36313999,.34638637,.38184533,.35330546,.34724614
.28097397,.28779516,.28522468,.27324745,.27720875,.28646562,.26973817,.28419286,.2728605,.26271042,.29675543
.1805758,.18152727,.17934151,.18484844,.17487668,.18472265,.17250939,.17366886,.18197188,.17164555,.17089593
.32435837,.32201341,.31887773,.33325726,.3061884,.33097884,.29987037,.324779,.32382327,.28137088,.28144968
.22092357,.2201893,.22633012,.21237846,.20813181,.21873324,.22375385,.22318447,.21852358,.21724899,.21666414
.21322648,.20781778,.21737519,.23244962,.20604998,.21781299,.21054178,.2193315,.19994985,.2040033,.24036781
.30967262,.31039906,.31636623,.30128896,.30385655,.30746526,.30457669,.312204,.3033213,.28698537,.28089994
.21636517,.21827491,.2183158,.22044189,.22271405,.22231138,.21263048,.22502947,.20563895,.22282991,.20440964
.2224059,.22500017,.22474758,.22395149,.22616228,.22694445,.21154176,.22041643,.20718153,.21883371,.20140859
.17431298,.17201786,.17302327,.17369582,.18162979,.17050943,.17330842,.18103066,.17639719,.17647448,.18823463
.24036512,.24199848,.24192165,.23620963,.23375691,.24290441,.23582265,.22586757,.24137592,.22803825,.22825053
.24386095,.23300223,.24335808,.24125566,.2362984,.245653,.23476364,.22916126,.24407521,.23381236,.22261006
.242056,.23973437,.2417201,.24126549,.23818387,.25062075,.24016201,.23289095,.22319031,.22803934,.23502341
.21982753,.21644366,.21876149,.21748124,.22747447,.21970405,.21950068,.23027827,.22507939,.2056514,.22065778
.22165106,.22809462,.22388181,.22640337,.22599719,.21112657,.21172716,.22499791,.20868735,.21734603,.21280245
.28762341,.28944442,.28431022,.28050914,.28380033,.28326592,.28126085,.27432993,.28906801,.27552465,.26823264
.24248256,.23337604,.24791095,.23994976,.22489943,.24399386,.24695964,.24127361,.24361426,.22442044,.19303344
.24749775,.24783103,.24509251,.25107977,.24897276,.24980667,.25359744,.26321623,.24348903,.23479387,.23812874
.20629379,.20814602,.20040719,.20169537,.2118139,.21152639,.20714596,.20183849,.19219477,.20492017,.20935167
.29977286,.30203718,.30822006,.31823111,.29539555,.30289412,.29384348,.27517524,.28959882,.28479177,.29955184
.39721075,.39320409,.402789,.39889035,.39372316,.38771582,.40034041,.39149529,.39055291,.37305161,.38325605
.28071469,.28249142,.27696806,.2745364,.27734959,.27423015,.28000304,.28931615,.27310634,.27534777,.27582547
.33847725,.33179215,.34189311,.33764556,.33820054,.32537866,.35266122,.31119764,.33589089,.33573115,.34558082
.37447393,.37406164,.37839127,.36625266,.37047836,.38154766,.37771782,.3664887,.37085515,.35046539,.36573166
.33938816,.33700055,.33604333,.34107715,.32611486,.33175564,.32802528,.33481434,.33475751,.32682332,.33699721
.19414149,.18874989,.18859391,.19615524,.19384426,.20028976,.20549412,.19525032,.18832023,.20047197,.19500282
.30906057,.31020471,.31011537,.31026104,.30822343,.31067115,.30839258,.30433226,.28869799,.27481583,.30678505
.25314239,.25432014,.25377804,.2519604,.25285554,.25634888,.25599477,.25198188,.24813287,.23238894,.23058437
.22255543,.22021632,.22297752,.22024009,.2215956,.21961543,.22434294,.22041264,.22199452,.22462781,.22843964
.29656219,.29870772,.29716054,.29145676,.2918936,.30475885,.30340579,.27963099,.2866914,.29604334,.27438214
.22845286,.22775938,.22915564,.22223049,.21687594,.22556904,.21066919,.22709264,.22679725,.23130296,.21677046
.25078249,.25155461,.25472376,.25898969,.25350812,.27392471,.25240904,.25355247,.25322914,.24790722,.28019646
.22329688,.21984984,.219724,.2163123,.22095966,.21712692,.22584102,.21896614,.20983222,.22615544,.22427699
.17146535,.1711674,.17253889,.17591877,.18225683,.16865443,.16727993,.184755,.17475623,.17899311,.16102767
.26228735,.26334941,.25877497,.25783491,.27003536,.25194049,.248824,.25804356,.26397899,.26376584,.25665951
.21765451,.21917993,.22078408,.20759149,.21836299,.20664357,.21682662,.20985828,.21779186,.20002799,.211188
.24242032,.24214979,.23650938,.23945002,.24677542,.23919383,.24861716,.22878917,.23766591,.23358303,.24849989
.24637227,.24150969,.24712239,.24941994,.23742397,.24345639,.24209902,.22423103,.23745103,.25181529,.22812845
.23277193,.23493224,.23212859,.22792979,.22413521,.2147899,.22159161,.22406054,.22260079,.21747978,.21911561
.25252256,.24807289,.24838129,.25284865,.24451262,.23559941,.2587738,.2484969,.24464811,.24859183,.24364321
.27085537,.26646844,.2703892,.27386263,.27398902,.25602561,.25921845,.25389367,.26430112,.24478772,.27620146
.19142672,.19234391,.1922414,.19466048,.19796842,.19852588,.18132503,.19416317,.19882864,.16901632,.18268526
.31478643,.31280985,.31844488,.30888617,.31711808,.31609586,.3087377,.31491566,.30156124,.3060787,.31678021
.32267511,.32323194,.32251331,.31840149,.3210592,.31800765,.31421316,.30966005,.30933902,.32888731,.33588013
.18935782,.18880212,.18944302,.18986194,.19554284,.19394389,.20028722,.19642062,.19326997,.18165854,.178599
.28245631,.28083465,.29046264,.28251874,.28821838,.27973992,.28317237,.28161481,.25314546,.27917197,.2790755
.21967413,.21842685,.20917889,.23223007,.22369908,.21544418,.2030389,.22986713,.21423781,.20694895,.24784163
.23634231,.23793535,.23600389,.23953724,.23044088,.22761154,.23597004,.22790387,.24429916,.23349518,.23438106
.35580486,.35676098,.35072282,.35059896,.35377043,.32992017,.34270203,.34255299,.36989111,.33638707,.348676
.21105605,.20630293,.20401219,.21414974,.20323537,.19739135,.20637196,.21944217,.22378473,.21862935,.2093592
.30328366,.30433974,.30325159,.29946414,.29547477,.2997219,.30760932,.28645387,.30429733,.29959074,.28877023
.28699753,.2815631,.28728229,.28913853,.29211587,.29019675,.28199691,.27480322,.27561346,.26806617,.29822871
.15852447,.15840241,.16849267,.15812972,.16333841,.16074255,.16408941,.17062223,.15709673,.15731154,.15152848
.30150661,.30067217,.30628616,.29985255,.29280478,.29851544,.2988933,.30828604,.25813258,.29734015,.27736199
.28561038,.28616852,.28998291,.28553414,.27471867,.2859264,.29184216,.27339718,.2771835,.28217536,.24982023
.30605295,.30196953,.30340883,.30313933,.30004975,.2994214,.30552417,.29818273,.30891076,.28808755,.29114738
.2247622,.2204107,.22830315,.22501296,.24198946,.22145808,.23053156,.22830315,.23943502,.23173161,.23453076
.236947,.23310898,.23426388,.24706225,.23208663,.22690387,.22048716,.23714985,.24096949,.20411006,.22157666
.23803675,.23760596,.24371584,.24220696,.23530068,.24084899,.23630771,.23623498,.24398747,.23763506,.24052678
.24987744,.25980732,.24737681,.2430578,.25067651,.24616787,.25015175,.25642189,.24901986,.23348585,.2476835
.32300723,.32440776,.31354538,.31973144,.31230721,.3135227,.3443417,.33206987,.33900657,.30923203,.31743029
.27917808,.27488127,.27262175,.28371587,.27808043,.27603108,.28120121,.28674945,.26366645,.26916605,.26621237
.23951571,.24643338,.23222119,.25063902,.2314575,.24076338,.24892782,.2550109,.23500229,.23320083,.2468186
.31324744,.31145459,.30542341,.29853734,.3107698,.30152538,.29786891,.29031482,.32033506,.28187001,.28896254
.29282337,.29482597,.28817621,.29273641,.28548983,.28750232,.28078601,.28774995,.28880003,.28228825,.28379807
.34350306,.34207031,.34597993,.33552331,.34307775,.34235924,.32805091,.33137336,.34151655,.33793879,.34314191
.24870689,.24708501,.25510633,.25081599,.23630764,.24966528,.24372567,.24753256,.25165716,.23375165,.23739231
.37705857,.38330182,.37734327,.36790586,.38086659,.3565678,.38002476,.37248519,.36602685,.3708021,.35519513
.24545446,.24548815,.23795319,.24198535,.24137697,.24323381,.24556533,.24497303,.26205066,.23462015,.23736571
.26737577,.2636241,.26222497,.27253154,.27482435,.27562904,.26225919,.25921458,.258517,.25257912,.25234181
.28362232,.28638363,.27996996,.2814725,.27823162,.29338881,.2559562,.27679512,.2765398,.25437137,.25522545
.24555045,.24932225,.24623397,.23449306,.25591987,.24347445,.24390703,.22005685,.23741546,.22785141,.26335806
.23250122,.23478246,.22615774,.23719855,.23361678,.23486064,.22068,.23438673,.24940935,.22769769,.24242811
.25752088,.25683126,.25865355,.25034782,.26078454,.26525044,.25924334,.25338888,.24185875,.26315418,.24431305
.35270524,.35222211,.34732157,.35938224,.3452442,.35024881,.36064556,.34897795,.32930711,.35751072,.32075426
.25887382,.25514993,.25663394,.2567198,.26763481,.26451233,.24487141,.25182638,.26167786,.25891441,.25024569
.2888678,.28897706,.28532824,.28268546,.29179364,.28347576,.27476233,.28583893,.28370306,.27435604,.28807613
.34676188,.34486324,.34822905,.3496564,.35728213,.33779585,.34282467,.34432983,.32790458,.33989927,.31379589
.25500074,.25476575,.2555128,.25095105,.25008768,.24293786,.24492076,.24378645,.24769264,.25314441,.23683141
.35871622,.36266372,.35900438,.37146679,.34976932,.35156667,.35955241,.35949239,.34607849,.3326605,.3428528
.24345037,.24412543,.24666122,.24160765,.23841378,.23822674,.24417619,.23481676,.24836792,.22955883,.22770587
