se_storage1,se_storage2,se_storage3,se_storage4,se_storage5,se_storage6,se_storage7,se_storage8,se_storage9,se_storage10,se_storage11
.90196693,.9113763,.91577441,.86899793,.87345743,.88788253,.88956374,.84357202,.87703466,.83035952,.8141126
.8670603,.87754518,.86483955,.87706238,.88255316,.87176996,.89779949,.86736727,.89470625,.89867508,.90316504
.6807813,.67466414,.68716526,.66674048,.66908103,.64068842,.68353891,.65284538,.62630391,.70922953,.62662333
1.1889718,1.1786903,1.2363126,1.2137529,1.1814654,1.196388,1.259087,1.1726022,1.1910995,1.1542919,1.1446617
.72077823,.70748383,.72117436,.7127921,.73081464,.69106084,.73992682,.67374253,.69768137,.72760725,.67703784
.82843041,.83778888,.82054079,.81498623,.82709098,.76884502,.84423202,.78707772,.79262191,.82530695,.737432
.86850584,.86056662,.85572362,.85549372,.84244514,.87796712,.85002613,.75871843,.8021211,.80736703,.79464048
1.0302277,1.041137,1.0397691,1.0011698,1.0402676,.98916209,1.025207,1.0359004,1.0268087,1.2382814,1.042994
.88010329,.88521284,.87593883,.83956176,.8710205,.81795663,.85100347,.80641717,.82697588,.83936042,.8488369
1.1633003,1.1236861,1.1529136,1.1211249,1.0822614,1.0879596,1.0346437,1.1269541,1.0793923,1.0495336,1.0098523
1.0658965,1.0455345,1.0691139,1.1110795,1.0696193,1.0517137,1.0674803,1.0382482,1.1423304,1.1286576,1.1544056
.9764818,.97383326,.97169262,1.0025746,1.0152053,.95885658,.94990069,.96833545,1.025758,.96737546,.97137958
1.184341,1.1715304,1.1861631,1.1814336,1.1556832,1.1420288,1.1516119,1.1113472,1.0492618,1.078488,.91859674
.65222448,.65548992,.63092715,.64492571,.6342144,.65399861,.64774346,.59603488,.61920768,.62337399,.58374816
1.0312734,1.0183939,1.0276004,1.045778,1.0386983,1.0078397,.95172501,.9587571,1.0215831,.93870169,.98742986
1.2887686,1.2709049,1.2561523,1.2537634,1.2186587,1.1887722,1.1709968,1.2231581,1.1348146,1.2540098,1.0878676
.84003377,.85260123,.82062632,.81355375,.81677532,.80128098,.81251478,.79698294,.87602067,.92064768,.75234497
.88593727,.88025695,.92852283,.9050284,.93581229,.94854772,.94862962,.93948716,.83639991,.98280197,1.0163794
.73249847,.74023026,.72275668,.734644,.76091844,.73511535,.72214854,.70582354,.76301122,.71680051,.83413136
.75773084,.77203095,.7714361,.73728067,.77889854,.74323213,.73814583,.74630368,.70018518,.71400517,.70799613
.77786517,.78283,.7559697,.74486071,.76886606,.73302209,.76941341,.72020215,.65806252,.64533019,.64251649
1.135286,1.1279304,1.1392524,1.0857089,1.1125261,1.0980885,1.0315506,1.0817934,1.0892168,1.0771599,1.0291228
1.1844252,1.2071451,1.1472543,1.1689752,1.1645023,1.1176198,1.1543394,1.2624044,1.124073,1.1908464,1.2230147
1.5061041,1.5151302,1.5020769,1.4912168,1.5316293,1.4714187,1.5176345,1.3760226,1.4444089,1.4898055,1.3551694
.88521391,.89992326,.89680439,.83783674,.91916186,.88222104,.85456872,.87050653,.86755675,.92760223,.91948962
.68097383,.67557108,.71122164,.69414818,.67371851,.64237338,.67284673,.69127929,.61554867,.60380423,.62919074
.76743633,.76800704,.76241159,.76979393,.73435491,.68727398,.7073133,.69369507,.77418113,.66104996,.7288115
.88864017,.89129215,.88520849,.90790004,.89813513,.88149023,.89782262,.84168845,.90168411,.89043427,.8882398
1.0814073,1.0777768,1.0800968,1.1040833,1.1220119,1.0704834,1.0055542,1.0347525,1.062626,1.0104522,1.0022557
.82019609,.81369472,.7929678,.80712301,.80373967,.81713945,.79272574,.8289991,.8434068,.87496001,.82449794
.6570431,.66785085,.68048728,.69051164,.67582703,.65022177,.64736533,.65345472,.63106173,.65999502,.63536078
.77711761,.77653003,.76811039,.77255183,.75577766,.74651104,.76782548,.75861233,.78362274,.76629519,.66595453
.93636286,.93094033,.90637487,.9027524,.92055517,.94826555,1.0202903,.91797805,.91368812,.92181522,.89907086
.90058428,.89933228,.91084826,.92694789,.94846851,.88689494,.89008659,.9038409,.83202237,.84139085,.91625184
.73669624,.74395752,.73610145,.71058995,.72640228,.76533586,.75355929,.75510454,.75170517,.75669634,.67607599
.7396608,.74459243,.73616606,.74481219,.74307692,.74432337,.72876328,.7324068,.72405255,.76851469,.74400133
.87258977,.87887895,.88427824,.85758418,.85612321,.85876441,.81566793,.80204993,.79276866,.87449092,.86716521
.54490793,.54092395,.55504304,.54937071,.53689402,.56172478,.58298385,.51094025,.54378104,.5754863,.55136853
1.2784202,1.279925,1.2628288,1.2439367,1.2119125,1.2282288,1.2795303,1.1630479,1.2275001,1.2578056,1.2030182
1.0494394,1.0495694,1.0346258,1.0109041,1.0677323,1.0504833,1.0513123,1.0600817,1.0508177,.95487231,1.081138
1.0305382,1.0427394,1.0095584,1.0259435,.99888009,1.0423054,.92628491,.95797843,1.0048748,1.0525607,.87627786
.7369253,.72668839,.73475015,.75820595,.65673447,.72513664,.72067648,.77025205,.73078316,.71385545,.62866253
.83979434,.81023812,.81760842,.80375272,.83338279,.83151442,.80180991,.80805469,.93880033,.87057722,.79349267
.87626249,.88582015,.86276752,.87987918,.89860761,.89633542,.85601854,.85576361,.94240147,.9553923,.89877087
1.2013367,1.1909354,1.185771,1.1578906,1.2045772,1.208617,1.1914735,1.1681591,1.1390879,1.1123897,1.0036856
.86933196,.86689538,.86819708,.83368933,.85765159,.84530544,.85308927,.90422297,.84404403,.83222294,.79397166
1.264477,1.2618355,1.2543103,1.2017827,1.3002096,1.2208492,1.2277137,1.2631856,1.1965876,1.2189997,1.2168144
